Bgy_Code,Number of Health Facility,Occurence of Armed Conflict,Household with Concrete Walls Proportion,Access to Electricity Proportion,Access to Treated Water Proportion,Owned House and Lot Proportion,Has Copy Birth Certificate Proportion 6 - 24 yo,Married Proportion 6 - 24 yo,School Attendance after Grade 3 (6 - 24 yo),Overseas Worker in Family Proportion,Distance to nearest health facility,Percentage of working 15 - 19 yo,Number of High Schools,Number of Elementary Schools and Below
124702010,1,1,0.2974013474494707,0.425552353506244,0.0038424591738712775,0.9586935638808838,0.7498969921714049,0.1514026402640264,0.6179226069246436,0.1335254562920269,0.9441226186298056,0.0,0.0,0.0
124702015,0,1,0.2395915161036921,0.4791830322073841,0.041633935585231735,0.5545954438334643,0.6057692307692307,0.17701342281879195,0.6260330578512396,0.10062893081761007,0.9514511452700474,0.0,0.0,0.0
124702016,1,1,0.05349794238683128,0.3436213991769547,0.012345679012345678,0.98559670781893,0.4408713692946058,0.20435684647302904,0.5315682281059063,0.037037037037037035,0.9521519278315488,0.0,0.0,0.0
124702024,0,1,0.24627720504009165,0.8785796105383734,0.002290950744558992,0.5578465063001146,0.7183279742765273,0.15701415701415702,0.622533418204965,0.10423825887743414,0.949756069591172,0.0,0.0,0.0
124702027,0,1,0.2188449848024316,0.4194528875379939,0.00911854103343465,0.6413373860182371,0.5452212957023733,0.14817190506735087,0.5142857142857142,0.06534954407294832,0.9433915810948856,0.0,0.0,0.0
124702030,0,1,0.035897435897435895,0.19829059829059828,0.1641025641025641,0.8735042735042735,0.7302483069977427,0.3227633069082673,0.5223214285714286,0.005128205128205128,0.9545277029700704,0.0,0.0,0.0
124702039,1,1,0.030844155844155844,0.5831960461285008,0.1878088962108732,0.9505766062602964,0.9159034138218152,0.11740216486261447,0.7396351575456053,0.04707792207792208,0.9432822788978728,0.0,0.0,0.0
124703004,1,1,0.21725239616613412,0.476038338658147,0.1757188498402556,0.2332268370607029,0.4910277324632953,0.13192182410423453,0.5631067961165048,0.04153354632587858,0.9494792285241432,0.0,0.0,0.0
124703013,1,1,0.05225988700564972,0.3135593220338983,0.20480225988700565,0.1426553672316384,0.5247657295850067,0.1644088669950739,0.5445121951219513,0.062146892655367235,0.9524922049027874,0.0,0.0,0.0
124703017,1,1,0.1821917808219178,0.6910344827586207,0.0027586206896551718,0.4758620689655173,0.7715430861723447,0.13324450366422386,0.6183606557377049,0.07133058984910838,0.9467992745562156,0.0,0.0,0.0
124703021,1,1,0.5517241379310345,0.7789473684210526,0.010526315789473684,0.7526315789473684,0.8410958904109589,0.1174863387978142,0.6172506738544474,0.3054187192118227,0.9484766402115936,0.0,0.0,0.0
124703022,1,1,0.013483146067415729,0.006756756756756757,0.16666666666666666,0.8603603603603603,0.5,0.2340425531914893,0.5012437810945274,0.026966292134831458,0.9587742095762142,0.0,0.0,0.0
124703023,1,1,0.04731182795698925,0.3588621444201313,0.2691466083150985,0.3654266958424507,0.6405693950177936,0.15180935569285084,0.5622280243690165,0.03655913978494624,0.956307372969368,0.0,0.0,0.0
124703024,1,1,0.023809523809523808,0.003448275862068965,0.7034482758620689,0.8448275862068966,0.6271477663230239,0.14751286449399656,0.5474576271186441,0.016778523489932886,0.9611140946320188,0.0,0.0,0.0
124709011,1,1,0.32894736842105265,0.7976539589442815,0.3900293255131965,0.7272727272727273,0.6198145436798438,0.05283757338551859,0.6967491508976225,0.18421052631578946,0.9161882986916832,0.0,0.0,0.0
