Pro_Name,Pro_Code,Bgy_Name,Bgy_Code
Basilan,PH150700000,Silangkum,PH150706030
Basilan,PH150700000,Bangcuang,PH150706038
Basilan,PH150700000,Lahi-lahi,PH150707005
Basilan,PH150700000,Sinulatan,PH150707010
Basilan,PH150700000,Bohetambis,PH150707016
Basilan,PH150700000,Duga-a,PH150707021
Basilan,PH150700000,Mahawid,PH150707025
Basilan,PH150700000,Lower Sinangkapan,PH150707028
Basilan,PH150700000,Tablas Usew,PH150707033
Basilan,PH150700000,Calut,PH150707034
Basilan,PH150700000,Katipunan,PH150707040
Basilan,PH150700000,Lower Tablas,PH150707041
Basilan,PH150700000,Caddayan,PH150708001
Basilan,PH150700000,Linongan,PH150708002
Basilan,PH150700000,Lower Bato-bato,PH150708003
Basilan,PH150700000,Mangalut,PH150708004
Basilan,PH150700000,Manguso,PH150708005
Basilan,PH150700000,Paguengan,PH150708006
Basilan,PH150700000,Semut,PH150708007
Basilan,PH150700000,Upper Bato-bato,PH150708008
Basilan,PH150700000,Upper Sinangkapan,PH150708009
Basilan,PH150700000,Apil-Apil,PH150709001
Basilan,PH150700000,Bato-bato,PH150709002
Basilan,PH150700000,Bohe-Piang,PH150709003
Basilan,PH150700000,Bucalao,PH150709004
Basilan,PH150700000,Cambug,PH150709005
Basilan,PH150700000,Danapah,PH150709006
Basilan,PH150700000,Guinanta,PH150709007
Basilan,PH150700000,Kailih,PH150709008
Basilan,PH150700000,Kinukutan,PH150709009
Basilan,PH150700000,Kuhon,PH150709010
Basilan,PH150700000,Kuhon Lennuh,PH150709011
Basilan,PH150700000,Linuan,PH150709012
Basilan,PH150700000,Lookbisaya (Kaulungan Island),PH150709013
Basilan,PH150700000,Macalang,PH150709014
Basilan,PH150700000,Magcawa,PH150709015
Basilan,PH150700000,Sangkahan (Kaulungan Island),PH150709016
Basilan,PH150700000,Basakan,PH150710001
Basilan,PH150700000,Buton,PH150710002
Basilan,PH150700000,Candiis,PH150710003
Basilan,PH150700000,Langil,PH150710004
Basilan,PH150700000,Langong,PH150710005
Basilan,PH150700000,Languyan,PH150710006
Basilan,PH150700000,Pintasan,PH150710007
Basilan,PH150700000,Seronggon,PH150710008
Basilan,PH150700000,Sibago,PH150710009
Basilan,PH150700000,Sulutan Matangal,PH150710010
Basilan,PH150700000,Tuburan Proper (Pob.),PH150710011
Basilan,PH150700000,Amaloy,PH150711001
Basilan,PH150700000,Bohe-Pahuh,PH150711002
Basilan,PH150700000,Bohe-Suyak,PH150711003
Basilan,PH150700000,Cabangalan,PH150711004
Basilan,PH150700000,Danit,PH150711005
Basilan,PH150700000,Kamamburingan,PH150711006
Basilan,PH150700000,Matata,PH150711007
Basilan,PH150700000,Materling,PH150711008
Basilan,PH150700000,Pipil,PH150711009
Basilan,PH150700000,Sungkayut,PH150711010
Basilan,PH150700000,Tongbato,PH150711011
Basilan,PH150700000,Ulitan,PH150711012
Basilan,PH150700000,Baluk-baluk,PH150712001
Basilan,PH150700000,Dasalan,PH150712002
Basilan,PH150700000,Lubukan,PH150712003
Basilan,PH150700000,Luukbongsod,PH150712004
Basilan,PH150700000,Mananggal,PH150712005
Basilan,PH150700000,Palahangan,PH150712006
Basilan,PH150700000,Panducan,PH150712007
Basilan,PH150700000,Sangbay Big,PH150712008
Basilan,PH150700000,Sangbay Small,PH150712009
Basilan,PH150700000,Tausan,PH150712010
Basilan,PH150700000,Babag (Babuan Island),PH150713001
Basilan,PH150700000,Balanting,PH150713002
Basilan,PH150700000,Boloh-boloh,PH150713003
Basilan,PH150700000,Bukut-Umus,PH150713004
Basilan,PH150700000,Kaumpurnah,PH150713005
Basilan,PH150700000,Lanawan,PH150713006
