Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,labels
Basilan,PH150700000,Lo-ok,PH150702032,3 cold spot
Basilan,PH150700000,Lookbisaya (Kaulungan Island),PH150709013,0 ns
Basilan,PH150700000,Lower Bato-bato,PH150708003,1 hot spot
Basilan,PH150700000,Lower Bañas,PH150703024,0 ns
Basilan,PH150700000,Lower Manggas,PH150703008,0 ns
Basilan,PH150700000,Lower Sinangkapan,PH150707028,0 ns
Basilan,PH150700000,Lower Tablas,PH150707041,0 ns
Basilan,PH150700000,Lubukan,PH150712003,0 ns
Basilan,PH150700000,Lukketon,PH150705043,0 ns
Basilan,PH150700000,Luksumbang,PH150702035,0 ns
Basilan,PH150700000,Lumuton,PH150702034,3 cold spot
Basilan,PH150700000,Luuk-Bait,PH150705031,0 ns
Basilan,PH150700000,Luuk-Maluha,PH150703036,0 ns
Basilan,PH150700000,Luukbongsod,PH150712004,1 hot spot
Basilan,PH150700000,Macalang,PH150709014,0 ns
Basilan,PH150700000,Maganda,PH150702064,0 ns
Basilan,PH150700000,Magcawa,PH150709015,0 ns
Basilan,PH150700000,Mahatalang,PH150705032,0 ns
Basilan,PH150700000,Mahawid,PH150707025,0 ns
Basilan,PH150700000,Mahayahay Lower (Zone I),PH150704007,0 ns
Basilan,PH150700000,Mahayahay Upper (Zone II),PH150704019,0 ns
Basilan,PH150700000,Malakas,PH150702065,2 low outlier
Basilan,PH150700000,Maligaya,PH150702066,1 hot spot
Basilan,PH150700000,Malinis (Pob.),PH150702067,1 hot spot
Basilan,PH150700000,Malo-ong Canal,PH150702036,0 ns
Basilan,PH150700000,Malo-ong San Jose,PH150702037,0 ns
Basilan,PH150700000,Mananggal,PH150712005,0 ns
Basilan,PH150700000,Manaul,PH150705013,0 ns
Basilan,PH150700000,Mangal (Pob.),PH150705014,0 ns
Basilan,PH150700000,Mangalut,PH150708004,2 low outlier
Basilan,PH150700000,Manguso,PH150708005,0 ns
Basilan,PH150700000,Marang,PH150705044,0 ns
Basilan,PH150700000,Matarling,PH150703011,0 ns
Basilan,PH150700000,Matata,PH150711007,0 ns
Basilan,PH150700000,Matatag,PH150702068,0 ns
Basilan,PH150700000,Materling,PH150711008,0 ns
Basilan,PH150700000,Matibay,PH150702069,1 hot spot
Basilan,PH150700000,Matikang,PH150703012,0 ns
Basilan,PH150700000,Mebak,PH150705045,0 ns
Basilan,PH150700000,Muslim Area,PH150704008,0 ns
Basilan,PH150700000,Paguengan,PH150708006,0 ns
Basilan,PH150700000,Palahangan,PH150712006,0 ns
Basilan,PH150700000,Pamucalin,PH150703033,3 cold spot
Basilan,PH150700000,Panducan,PH150712007,1 hot spot
Basilan,PH150700000,Paniongan,PH150703035,0 ns
Basilan,PH150700000,Parangbasak,PH150702039,0 ns
Basilan,PH150700000,Parian-Baunoh,PH150703038,3 cold spot
Basilan,PH150700000,Pintasan,PH150710007,0 ns
Basilan,PH150700000,Pipil,PH150711009,4 high outlier
Basilan,PH150700000,Pisak-pisak,PH150713007,0 ns
Basilan,PH150700000,Port Holland Zone I Pob. (Upper),PH150704009,1 hot spot
Basilan,PH150700000,Port Holland Zone II Pob. (Shipyard Main),PH150704010,0 ns
Basilan,PH150700000,Port Holland Zone III Pob. (Samal Village),PH150704011,1 hot spot
Basilan,PH150700000,Port Holland Zone IV (Lower),PH150704012,1 hot spot
Basilan,PH150700000,Port Holland Zone V (Shipyard Tabuk),PH150704020,1 hot spot
Basilan,PH150700000,Sabong,PH150702057,0 ns
Basilan,PH150700000,Sahaya Bohe Bato,PH150705047,0 ns
Basilan,PH150700000,Saluping,PH150713008,0 ns
Basilan,PH150700000,Sangbay Big,PH150712008,0 ns
Basilan,PH150700000,Sangbay Small,PH150712009,0 ns
Basilan,PH150700000,Sangkahan (Kaulungan Island),PH150709016,0 ns
Basilan,PH150700000,Santa Clara,PH150702045,0 ns
Basilan,PH150700000,Sapah Bulak,PH150705048,0 ns
Basilan,PH150700000,Semut,PH150708007,0 ns
Basilan,PH150700000,Sengal,PH150702058,0 ns
Basilan,PH150700000,Seronggon,PH150710008,2 low outlier
Basilan,PH150700000,Sibago,PH150710009,0 ns
Basilan,PH150700000,Silangkum,PH150706030,0 ns
Basilan,PH150700000,Simbangon,PH150702070,3 cold spot
Basilan,PH150700000,Sinulatan,PH150707010,0 ns
Basilan,PH150700000,Suba-an (Pangasahan),PH150703021,3 cold spot
Basilan,PH150700000,Suligan (Babuan Island),PH150713009,0 ns
Basilan,PH150700000,Sulloh (Tapiantana),PH150713010,0 ns
Basilan,PH150700000,Sulutan Matangal,PH150710010,0 ns
Basilan,PH150700000,Sumisip Central,PH150705019,0 ns
Basilan,PH150700000,Sungkayut,PH150711010,0 ns
Basilan,PH150700000,Switch Yakal,PH150703034,3 cold spot
Basilan,PH150700000,Taberlongan,PH150704015,0 ns
Basilan,PH150700000,Tablas Usew,PH150707033,0 ns
Basilan,PH150700000,Tairan,PH150703016,4 high outlier
Basilan,PH150700000,Tambulig Buton,PH150713011,0 ns
Basilan,PH150700000,Tamuk,PH150704017,0 ns
Basilan,PH150700000,Tandong Ahas,PH150702047,0 ns
Basilan,PH150700000,Tausan,PH150712010,0 ns
Basilan,PH150700000,Tikus,PH150705050,0 ns
Basilan,PH150700000,Tipo-tipo Proper (Pob.),PH150706016,0 ns
Basilan,PH150700000,Tong-Umus,PH150713012,0 ns
Basilan,PH150700000,Tongbato,PH150711011,0 ns
Basilan,PH150700000,Tongsengal,PH150705025,0 ns
Basilan,PH150700000,Townsite (Pob.),PH150704013,1 hot spot
Basilan,PH150700000,Tubigan,PH150704018,0 ns
Basilan,PH150700000,Tuburan Proper (Pob.),PH150710011,0 ns
Basilan,PH150700000,Tumahubong,PH150705022,0 ns
Basilan,PH150700000,Tumakid,PH150702049,0 ns
Basilan,PH150700000,Ubit,PH150702050,0 ns
Basilan,PH150700000,Ulame,PH150702059,0 ns
Basilan,PH150700000,Ulitan,PH150711012,0 ns
Basilan,PH150700000,Upper Bato-bato,PH150708008,0 ns
Basilan,PH150700000,Upper Bañas,PH150703025,3 cold spot
Basilan,PH150700000,Upper Garlayan,PH150704021,3 cold spot
Basilan,PH150700000,Upper Manggas,PH150703017,0 ns
Basilan,PH150700000,Upper Sinangkapan,PH150708009,0 ns
Lanao Del Sur,PH153600000,Abaga,PH153603001,0 ns
Lanao Del Sur,PH153600000,Abaga,PH153613001,0 ns
Lanao Del Sur,PH153600000,Abdullah Buisan,PH153618001,0 ns
Lanao Del Sur,PH153600000,Agagan,PH153634001,0 ns
Lanao Del Sur,PH153600000,Alinun,PH153625001,0 ns
Lanao Del Sur,PH153600000,Alip Lalabuan,PH153618003,0 ns
