Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,Number Of Households,Light Source,Value
Basilan,PH150700000,Guiong,PH150705010,401,Electricity,7
Basilan,PH150700000,Manaul,PH150705013,272,Electricity,1
Basilan,PH150700000,Mangal (Pob.),PH150705014,530,Electricity,7
Basilan,PH150700000,Sumisip Central,PH150705019,358,Electricity,30
Basilan,PH150700000,Tumahubong,PH150705022,366,Electricity,247
Basilan,PH150700000,Libug,PH150705024,248,Electricity,2
Basilan,PH150700000,Tongsengal,PH150705025,211,Electricity,0
Basilan,PH150700000,Baiwas,PH150705027,184,Electricity,4
Basilan,PH150700000,Basak,PH150705028,201,Electricity,2
Basilan,PH150700000,Cabengbeng Lower,PH150705029,189,Electricity,116
Basilan,PH150700000,Cabengbeng Upper,PH150705030,223,Electricity,115
Basilan,PH150700000,Luuk-Bait,PH150705031,322,Electricity,6
Basilan,PH150700000,Mahatalang,PH150705032,176,Electricity,0
Basilan,PH150700000,Benembengan Upper,PH150705035,277,Electricity,1
Basilan,PH150700000,Bohe-languyan,PH150705036,130,Electricity,105
Basilan,PH150700000,Ettub-ettub,PH150705039,367,Electricity,1
Basilan,PH150700000,Kaum-Air,PH150705041,139,Electricity,1
Basilan,PH150700000,Limbocandis,PH150705042,161,Electricity,8
Basilan,PH150700000,Lukketon,PH150705043,255,Electricity,0
Basilan,PH150700000,Marang,PH150705044,168,Electricity,2
Basilan,PH150700000,Mebak,PH150705045,303,Electricity,275
Basilan,PH150700000,Sahaya Bohe Bato,PH150705047,314,Electricity,1
Basilan,PH150700000,Sapah Bulak,PH150705048,222,Electricity,115
Basilan,PH150700000,Tikus,PH150705050,248,Electricity,6
Basilan,PH150700000,Kaumpamatsakem,PH150705051,203,Electricity,4
Basilan,PH150700000,Badja,PH150706002,533,Electricity,460
Basilan,PH150700000,Bohebaca,PH150706003,201,Electricity,88
Basilan,PH150700000,Bohelebung,PH150706004,425,Electricity,213
Basilan,PH150700000,Lagayas,PH150706011,179,Electricity,150
Basilan,PH150700000,Limbo-Upas,PH150706012,202,Electricity,184
Basilan,PH150700000,Tipo-tipo Proper (Pob.),PH150706016,415,Electricity,370
Basilan,PH150700000,Baguindan,PH150706017,328,Electricity,5
Basilan,PH150700000,Banah,PH150706018,273,Electricity,109
Basilan,PH150700000,Bohe-Tambak,PH150706019,148,Electricity,121
Basilan,PH150700000,Silangkum,PH150706030,299,Electricity,1
Basilan,PH150700000,Bangcuang,PH150706038,146,Electricity,93
Basilan,PH150700000,Lahi-lahi,PH150707005,347,Electricity,205
Basilan,PH150700000,Sinulatan,PH150707010,146,Electricity,141
Basilan,PH150700000,Bohetambis,PH150707016,217,Electricity,152
Basilan,PH150700000,Duga-a,PH150707021,520,Electricity,437
Basilan,PH150700000,Mahawid,PH150707025,337,Electricity,253
Basilan,PH150700000,Lower Sinangkapan,PH150707028,453,Electricity,308
Basilan,PH150700000,Tablas Usew,PH150707033,286,Electricity,164
Basilan,PH150700000,Calut,PH150707034,607,Electricity,449
Basilan,PH150700000,Katipunan,PH150707040,219,Electricity,197
Basilan,PH150700000,Lower Tablas,PH150707041,107,Electricity,106
Basilan,PH150700000,Caddayan,PH150708001,172,Electricity,125
Basilan,PH150700000,Linongan,PH150708002,395,Electricity,2
Basilan,PH150700000,Lower Bato-bato,PH150708003,264,Electricity,151
Basilan,PH150700000,Mangalut,PH150708004,281,Electricity,7
Basilan,PH150700000,Manguso,PH150708005,185,Electricity,89
Basilan,PH150700000,Paguengan,PH150708006,249,Electricity,8
Basilan,PH150700000,Semut,PH150708007,755,Electricity,629
Basilan,PH150700000,Upper Bato-bato,PH150708008,175,Electricity,84
Basilan,PH150700000,Upper Sinangkapan,PH150708009,344,Electricity,305
,,Apil-apil,PH150709001,165,Electricity,67
Basilan,PH150700000,Bato-bato,PH150709002,170,Electricity,67
Basilan,PH150700000,Bohe-Piang,PH150709003,209,Electricity,2
Basilan,PH150700000,Bucalao,PH150709004,366,Electricity,183
Basilan,PH150700000,Cambug,PH150709005,245,Electricity,47
Basilan,PH150700000,Danapah,PH150709006,188,Electricity,111
Basilan,PH150700000,Guinanta,PH150709007,372,Electricity,60
Basilan,PH150700000,Kailih,PH150709008,272,Electricity,251
Basilan,PH150700000,Kinukutan,PH150709009,166,Electricity,1
Basilan,PH150700000,Kuhon,PH150709010,194,Electricity,45
Basilan,PH150700000,Kuhon Lennuh,PH150709011,196,Electricity,3
Basilan,PH150700000,Linuan,PH150709012,198,Electricity,45
Basilan,PH150700000,Lookbisaya (Kaulungan Island),PH150709013,235,Electricity,10
Basilan,PH150700000,Macalang,PH150709014,135,Electricity,113
Basilan,PH150700000,Magcawa,PH150709015,403,Electricity,3
Basilan,PH150700000,Sangkahan (Kaulungan Island),PH150709016,148,Electricity,2
Basilan,PH150700000,Basakan,PH150710001,163,Electricity,103
Basilan,PH150700000,Buton,PH150710002,416,Electricity,375
Basilan,PH150700000,Candiis,PH150710003,285,Electricity,240
Basilan,PH150700000,Langil,PH150710004,247,Electricity,0
Basilan,PH150700000,Langong,PH150710005,186,Electricity,14
Basilan,PH150700000,Languyan,PH150710006,176,Electricity,13
Basilan,PH150700000,Pintasan,PH150710007,196,Electricity,1
Basilan,PH150700000,Seronggon,PH150710008,234,Electricity,187
Basilan,PH150700000,Sibago,PH150710009,294,Electricity,7
Basilan,PH150700000,Sulutan Matangal,PH150710010,235,Electricity,96
Basilan,PH150700000,Tuburan Proper (Pob.),PH150710011,516,Electricity,337
Basilan,PH150700000,Amaloy,PH150711001,191,Electricity,9
Basilan,PH150700000,Bohe-Pahuh,PH150711002,248,Electricity,206
Basilan,PH150700000,Bohe-Suyak,PH150711003,451,Electricity,277
Basilan,PH150700000,Cabangalan,PH150711004,165,Electricity,147
Basilan,PH150700000,Danit,PH150711005,177,Electricity,12
Basilan,PH150700000,Kamamburingan,PH150711006,207,Electricity,140
Basilan,PH150700000,Matata,PH150711007,185,Electricity,4
Basilan,PH150700000,Materling,PH150711008,362,Electricity,233
Basilan,PH150700000,Pipil,PH150711009,391,Electricity,249
Basilan,PH150700000,Sungkayut,PH150711010,171,Electricity,127
Basilan,PH150700000,Tongbato,PH150711011,220,Electricity,6
Basilan,PH150700000,Ulitan,PH150711012,327,Electricity,280
Basilan,PH150700000,Baluk-baluk,PH150712001,236,Electricity,3
Basilan,PH150700000,Dasalan,PH150712002,473,Electricity,5
Basilan,PH150700000,Lubukan,PH150712003,496,Electricity,27
Basilan,PH150700000,Luukbongsod,PH150712004,341,Electricity,7
Basilan,PH150700000,Mananggal,PH150712005,131,Electricity,4
Basilan,PH150700000,Palahangan,PH150712006,316,Electricity,2
Basilan,PH150700000,Panducan,PH150712007,250,Electricity,4
Basilan,PH150700000,Sangbay Big,PH150712008,542,Electricity,28
Basilan,PH150700000,Sangbay Small,PH150712009,449,Electricity,6
Basilan,PH150700000,Tausan,PH150712010,722,Electricity,41
Basilan,PH150700000,Babag (Babuan Island),PH150713001,313,Electricity,4
Basilan,PH150700000,Balanting,PH150713002,201,Electricity,0
Basilan,PH150700000,Boloh-boloh,PH150713003,185,Electricity,4
Basilan,PH150700000,Bukut-Umus,PH150713004,408,Electricity,8
Basilan,PH150700000,Kaumpurnah,PH150713005,271,Electricity,0
Basilan,PH150700000,Lanawan,PH150713006,636,Electricity,4
Basilan,PH150700000,Pisak-pisak,PH150713007,164,Electricity,6
Basilan,PH150700000,Saluping,PH150713008,305,Electricity,5
Basilan,PH150700000,Suligan (Babuan Island),PH150713009,163,Electricity,3
Basilan,PH150700000,Sulloh (Tapiantana),PH150713010,294,Electricity,3
Basilan,PH150700000,Tambulig Buton,PH150713011,231,Electricity,55
Basilan,PH150700000,Tong-Umus,PH150713012,444,Electricity,8
Lanao Del Sur,PH153600000,Ampao,PH153601001,169,Electricity,169
Lanao Del Sur,PH153600000,Bagoaingud,PH153601002,120,Electricity,119
Lanao Del Sur,PH153600000,Balut,PH153601004,88,Electricity,0
Lanao Del Sur,PH153600000,Barua,PH153601005,131,Electricity,128
Lanao Del Sur,PH153600000,Buadiawani,PH153601006,95,Electricity,94
Lanao Del Sur,PH153600000,Bubong,PH153601007,194,Electricity,181
Lanao Del Sur,PH153600000,Dilabayan,PH153601008,107,Electricity,106
Lanao Del Sur,PH153600000,Dipatuan,PH153601009,330,Electricity,330
Lanao Del Sur,PH153600000,Daramoyod,PH153601010,105,Electricity,102
Lanao Del Sur,PH153600000,Gandamato,PH153601011,92,Electricity,92
Lanao Del Sur,PH153600000,Gurain,PH153601012,56,Electricity,36
Lanao Del Sur,PH153600000,Ilian,PH153601013,170,Electricity,166
Lanao Del Sur,PH153600000,Lama,PH153601014,109,Electricity,109
Lanao Del Sur,PH153600000,Liawao,PH153601015,61,Electricity,61
Lanao Del Sur,PH153600000,Lumbaca-Ingud,PH153601016,163,Electricity,161
Lanao Del Sur,PH153600000,Madanding,PH153601018,122,Electricity,122
