Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,Category,Total Occupied Housing Units,Material,Value
Basilan,PH150700000,Guanan South (Zone II),PH150704005,Wall,125,Concrete/brick/stone,1
Basilan,PH150700000,Limbubong,PH150704006,Wall,154,Concrete/brick/stone,0
Basilan,PH150700000,Mahayahay Lower (Zone I),PH150704007,Wall,90,Concrete/brick/stone,1
Basilan,PH150700000,Muslim Area,PH150704008,Wall,85,Concrete/brick/stone,2
Basilan,PH150700000,Port Holland Zone I Pob. (Upper),PH150704009,Wall,566,Concrete/brick/stone,74
Basilan,PH150700000,Port Holland Zone II Pob. (Shipyard Main),PH150704010,Wall,378,Concrete/brick/stone,37
,,Port Holland Zone III Pob. (Samal Vil),PH150704011,Wall,642,Concrete/brick/stone,28
Basilan,PH150700000,Port Holland Zone IV (Lower),PH150704012,Wall,723,Concrete/brick/stone,219
Basilan,PH150700000,Townsite (Pob.),PH150704013,Wall,836,Concrete/brick/stone,56
Basilan,PH150700000,Taberlongan,PH150704015,Wall,364,Concrete/brick/stone,3
Basilan,PH150700000,Fuente Maluso,PH150704016,Wall,194,Concrete/brick/stone,9
Basilan,PH150700000,Tamuk,PH150704017,Wall,156,Concrete/brick/stone,5
Basilan,PH150700000,Tubigan,PH150704018,Wall,246,Concrete/brick/stone,1
Basilan,PH150700000,Mahayahay Upper (Zone II),PH150704019,Wall,129,Concrete/brick/stone,0
Basilan,PH150700000,Port Holland Zone V (Shipyard Tabuk),PH150704020,Wall,305,Concrete/brick/stone,15
Basilan,PH150700000,Upper Garlayan,PH150704021,Wall,80,Concrete/brick/stone,0
Basilan,PH150700000,Bacung,PH150705001,Wall,299,Concrete/brick/stone,61
Basilan,PH150700000,Benembengan Lower,PH150705002,Wall,139,Concrete/brick/stone,0
Basilan,PH150700000,Buli-buli,PH150705006,Wall,234,Concrete/brick/stone,2
Basilan,PH150700000,Cabcaban,PH150705007,Wall,268,Concrete/brick/stone,8
Basilan,PH150700000,Guiong,PH150705010,Wall,401,Concrete/brick/stone,16
Basilan,PH150700000,Manaul,PH150705013,Wall,272,Concrete/brick/stone,2
Basilan,PH150700000,Mangal (Pob.),PH150705014,Wall,528,Concrete/brick/stone,26
Basilan,PH150700000,Sumisip Central,PH150705019,Wall,358,Concrete/brick/stone,29
Basilan,PH150700000,Tumahubong,PH150705022,Wall,366,Concrete/brick/stone,0
Basilan,PH150700000,Libug,PH150705024,Wall,242,Concrete/brick/stone,2
Basilan,PH150700000,Tongsengal,PH150705025,Wall,210,Concrete/brick/stone,9
Basilan,PH150700000,Baiwas,PH150705027,Wall,184,Concrete/brick/stone,6
Basilan,PH150700000,Basak,PH150705028,Wall,201,Concrete/brick/stone,15
Basilan,PH150700000,Cabengbeng Lower,PH150705029,Wall,189,Concrete/brick/stone,28
Basilan,PH150700000,Cabengbeng Upper,PH150705030,Wall,215,Concrete/brick/stone,15
Basilan,PH150700000,Luuk-Bait,PH150705031,Wall,322,Concrete/brick/stone,20
Basilan,PH150700000,Mahatalang,PH150705032,Wall,176,Concrete/brick/stone,1
Basilan,PH150700000,Benembengan Upper,PH150705035,Wall,277,Concrete/brick/stone,2
Basilan,PH150700000,Bohe-languyan,PH150705036,Wall,130,Concrete/brick/stone,1
Basilan,PH150700000,Ettub-ettub,PH150705039,Wall,367,Concrete/brick/stone,24
Basilan,PH150700000,Kaum-Air,PH150705041,Wall,137,Concrete/brick/stone,17
Basilan,PH150700000,Limbocandis,PH150705042,Wall,161,Concrete/brick/stone,15
Basilan,PH150700000,Lukketon,PH150705043,Wall,255,Concrete/brick/stone,1
Basilan,PH150700000,Marang,PH150705044,Wall,168,Concrete/brick/stone,4
Basilan,PH150700000,Mebak,PH150705045,Wall,303,Concrete/brick/stone,19
Basilan,PH150700000,Sahaya Bohe Bato,PH150705047,Wall,314,Concrete/brick/stone,9
Basilan,PH150700000,Sapah Bulak,PH150705048,Wall,222,Concrete/brick/stone,6
Basilan,PH150700000,Tikus,PH150705050,Wall,247,Concrete/brick/stone,0
Basilan,PH150700000,Kaumpamatsakem,PH150705051,Wall,203,Concrete/brick/stone,0
Basilan,PH150700000,Badja,PH150706002,Wall,533,Concrete/brick/stone,35
Basilan,PH150700000,Bohebaca,PH150706003,Wall,201,Concrete/brick/stone,5
Basilan,PH150700000,Bohelebung,PH150706004,Wall,419,Concrete/brick/stone,6
Basilan,PH150700000,Lagayas,PH150706011,Wall,179,Concrete/brick/stone,13
Basilan,PH150700000,Limbo-Upas,PH150706012,Wall,202,Concrete/brick/stone,1
Basilan,PH150700000,Tipo-tipo Proper (Pob.),PH150706016,Wall,411,Concrete/brick/stone,122
Basilan,PH150700000,Baguindan,PH150706017,Wall,328,Concrete/brick/stone,1
Basilan,PH150700000,Banah,PH150706018,Wall,252,Concrete/brick/stone,0
Basilan,PH150700000,Bohe-Tambak,PH150706019,Wall,148,Concrete/brick/stone,8
Basilan,PH150700000,Silangkum,PH150706030,Wall,299,Concrete/brick/stone,2
Basilan,PH150700000,Bangcuang,PH150706038,Wall,145,Concrete/brick/stone,37
Basilan,PH150700000,Lahi-lahi,PH150707005,Wall,346,Concrete/brick/stone,42
Basilan,PH150700000,Sinulatan,PH150707010,Wall,146,Concrete/brick/stone,1
Basilan,PH150700000,Bohetambis,PH150707016,Wall,217,Concrete/brick/stone,10
Basilan,PH150700000,Duga-a,PH150707021,Wall,520,Concrete/brick/stone,43
Basilan,PH150700000,Mahawid,PH150707025,Wall,337,Concrete/brick/stone,99
Basilan,PH150700000,Lower Sinangkapan,PH150707028,Wall,420,Concrete/brick/stone,2
Basilan,PH150700000,Tablas Usew,PH150707033,Wall,223,Concrete/brick/stone,1
Basilan,PH150700000,Calut,PH150707034,Wall,450,Concrete/brick/stone,10
Basilan,PH150700000,Katipunan,PH150707040,Wall,219,Concrete/brick/stone,10
Basilan,PH150700000,Lower Tablas,PH150707041,Wall,107,Concrete/brick/stone,0
Basilan,PH150700000,Caddayan,PH150708001,Wall,135,Concrete/brick/stone,10
Basilan,PH150700000,Linongan,PH150708002,Wall,356,Concrete/brick/stone,7
Basilan,PH150700000,Lower Bato-bato,PH150708003,Wall,215,Concrete/brick/stone,23
Basilan,PH150700000,Mangalut,PH150708004,Wall,281,Concrete/brick/stone,1
Basilan,PH150700000,Manguso,PH150708005,Wall,166,Concrete/brick/stone,1
Basilan,PH150700000,Paguengan,PH150708006,Wall,223,Concrete/brick/stone,0
Basilan,PH150700000,Semut,PH150708007,Wall,699,Concrete/brick/stone,53
Basilan,PH150700000,Upper Bato-bato,PH150708008,Wall,175,Concrete/brick/stone,24
Basilan,PH150700000,Upper Sinangkapan,PH150708009,Wall,310,Concrete/brick/stone,9
,,Apil-apil,PH150709001,Wall,165,Concrete/brick/stone,2
Basilan,PH150700000,Bato-bato,PH150709002,Wall,170,Concrete/brick/stone,2
Basilan,PH150700000,Bohe-Piang,PH150709003,Wall,209,Concrete/brick/stone,2
Basilan,PH150700000,Bucalao,PH150709004,Wall,366,Concrete/brick/stone,10
Basilan,PH150700000,Cambug,PH150709005,Wall,230,Concrete/brick/stone,2
Basilan,PH150700000,Danapah,PH150709006,Wall,188,Concrete/brick/stone,1
Basilan,PH150700000,Guinanta,PH150709007,Wall,372,Concrete/brick/stone,20
Basilan,PH150700000,Kailih,PH150709008,Wall,272,Concrete/brick/stone,12
Basilan,PH150700000,Kinukutan,PH150709009,Wall,166,Concrete/brick/stone,1
Basilan,PH150700000,Kuhon,PH150709010,Wall,194,Concrete/brick/stone,1
Basilan,PH150700000,Kuhon Lennuh,PH150709011,Wall,196,Concrete/brick/stone,4
Basilan,PH150700000,Linuan,PH150709012,Wall,198,Concrete/brick/stone,10
Basilan,PH150700000,Lookbisaya (Kaulungan Island),PH150709013,Wall,235,Concrete/brick/stone,2
Basilan,PH150700000,Macalang,PH150709014,Wall,135,Concrete/brick/stone,12
Basilan,PH150700000,Magcawa,PH150709015,Wall,403,Concrete/brick/stone,3
Basilan,PH150700000,Sangkahan (Kaulungan Island),PH150709016,Wall,148,Concrete/brick/stone,0
Basilan,PH150700000,Basakan,PH150710001,Wall,163,Concrete/brick/stone,5
Basilan,PH150700000,Buton,PH150710002,Wall,375,Concrete/brick/stone,44
Basilan,PH150700000,Candiis,PH150710003,Wall,282,Concrete/brick/stone,19
Basilan,PH150700000,Langil,PH150710004,Wall,240,Concrete/brick/stone,0
Basilan,PH150700000,Langong,PH150710005,Wall,182,Concrete/brick/stone,14
Basilan,PH150700000,Languyan,PH150710006,Wall,176,Concrete/brick/stone,11
Basilan,PH150700000,Pintasan,PH150710007,Wall,196,Concrete/brick/stone,0
Basilan,PH150700000,Seronggon,PH150710008,Wall,200,Concrete/brick/stone,7
Basilan,PH150700000,Sibago,PH150710009,Wall,243,Concrete/brick/stone,45
Basilan,PH150700000,Sulutan Matangal,PH150710010,Wall,233,Concrete/brick/stone,10
Basilan,PH150700000,Tuburan Proper (Pob.),PH150710011,Wall,457,Concrete/brick/stone,33
Basilan,PH150700000,Amaloy,PH150711001,Wall,191,Concrete/brick/stone,0
Basilan,PH150700000,Bohe-Pahuh,PH150711002,Wall,248,Concrete/brick/stone,45
Basilan,PH150700000,Bohe-Suyak,PH150711003,Wall,451,Concrete/brick/stone,15
Basilan,PH150700000,Cabangalan,PH150711004,Wall,165,Concrete/brick/stone,38
Basilan,PH150700000,Danit,PH150711005,Wall,177,Concrete/brick/stone,5
Basilan,PH150700000,Kamamburingan,PH150711006,Wall,207,Concrete/brick/stone,8
Basilan,PH150700000,Matata,PH150711007,Wall,172,Concrete/brick/stone,1
Basilan,PH150700000,Materling,PH150711008,Wall,349,Concrete/brick/stone,50
Basilan,PH150700000,Pipil,PH150711009,Wall,391,Concrete/brick/stone,23
