Bgy_Code,labels
PH153615080,0 ns
PH153627003,3 cold spot
PH153604005,3 cold spot
PH153617006,0 ns
PH153630003,0 ns
PH153616105,0 ns
PH153617007,0 ns
PH153621003,3 cold spot
PH153617008,0 ns
PH153617009,0 ns
PH153619002,3 cold spot
PH153622002,0 ns
PH153626002,3 cold spot
PH153633003,3 cold spot
PH153641001,0 ns
PH153620006,3 cold spot
PH153633033,3 cold spot
PH153606003,3 cold spot
PH153621004,0 ns
PH153622004,0 ns
PH153638002,3 cold spot
PH153623002,3 cold spot
PH153611008,0 ns
PH153603007,0 ns
PH153635004,4 high outlier
PH153639002,0 ns
PH153624006,3 cold spot
PH153603008,0 ns
PH153609003,3 cold spot
PH153611009,3 cold spot
PH153602003,0 ns
PH153609033,3 cold spot
PH153601005,0 ns
PH153623003,3 cold spot
PH153605004,0 ns
PH153613006,3 cold spot
PH153621005,0 ns
PH153625018,0 ns
PH153617066,1 hot spot
PH153612008,0 ns
PH153606004,0 ns
PH153616106,0 ns
PH153606005,3 cold spot
PH153625004,0 ns
PH153613007,3 cold spot
PH153609004,0 ns
PH153634008,4 high outlier
PH153602004,0 ns
PH153611011,0 ns
PH153614005,3 cold spot
PH153609019,3 cold spot
PH153624009,3 cold spot
PH153607044,0 ns
PH153638004,3 cold spot
PH153626058,3 cold spot
PH153628006,0 ns
PH153641002,0 ns
PH153615019,0 ns
PH153617010,1 hot spot
PH153614006,3 cold spot
PH153604006,3 cold spot
PH153620011,3 cold spot
PH153604007,3 cold spot
PH153635007,0 ns
PH153631004,0 ns
PH153617012,0 ns
PH153617013,0 ns
PH153630007,0 ns
PH153621006,3 cold spot
PH153626001,3 cold spot
PH153617016,0 ns
PH153634004,3 cold spot
PH153631005,0 ns
PH153603054,3 cold spot
PH153623005,3 cold spot
PH153631006,3 cold spot
PH153639003,0 ns
PH153615017,0 ns
PH153603013,0 ns
PH153623006,3 cold spot
PH153627006,3 cold spot
PH153634007,0 ns
PH153627007,3 cold spot
