Bgy_Code,labels
PH153603046,0 ns
PH153613029,3 cold spot
PH153629031,0 ns
PH153626042,3 cold spot
PH153633035,3 cold spot
PH153604038,3 cold spot
PH153617109,0 ns
PH153617110,0 ns
PH153626041,3 cold spot
PH153617111,1 hot spot
PH153626043,3 cold spot
PH153615059,3 cold spot
PH153628033,0 ns
PH153604039,3 cold spot
PH153613030,3 cold spot
PH153627053,3 cold spot
PH153622037,0 ns
PH153622042,0 ns
PH153606049,3 cold spot
PH153623031,3 cold spot
PH153631028,3 cold spot
PH153617113,0 ns
PH153617112,0 ns
PH153601024,0 ns
PH153620046,3 cold spot
PH153611079,0 ns
PH153611081,0 ns
PH153634055,3 cold spot
PH153617116,0 ns
PH153617117,1 hot spot
PH153613031,3 cold spot
PH153617118,1 hot spot
PH153617119,0 ns
PH153637019,0 ns
PH153637018,3 cold spot
PH153611082,0 ns
PH153639012,0 ns
PH153606051,3 cold spot
PH153603047,3 cold spot
PH153619038,3 cold spot
PH153627055,3 cold spot
PH153625035,0 ns
PH153611083,0 ns
PH153613032,3 cold spot
PH153626046,3 cold spot
PH153627057,3 cold spot
PH153618077,3 cold spot
PH153607051,0 ns
PH153626047,0 ns
PH153604041,3 cold spot
PH153627058,3 cold spot
PH153607052,0 ns
PH153617120,1 hot spot
PH153604040,3 cold spot
PH153621032,3 cold spot
PH153633026,0 ns
PH153615061,0 ns
PH153631029,0 ns
PH153611085,3 cold spot
PH153618035,0 ns
PH153609030,3 cold spot
PH153630038,0 ns
PH153638041,3 cold spot
PH153639013,0 ns
PH153627061,3 cold spot
PH153604042,3 cold spot
PH153636030,0 ns
PH153613051,0 ns
PH153609020,0 ns
PH153605028,0 ns
PH153617123,0 ns
PH153627060,3 cold spot
PH153617124,2 low outlier
PH153619039,3 cold spot
PH153601025,3 cold spot
PH153604043,3 cold spot
PH153613033,0 ns
PH153629034,0 ns
PH153629036,0 ns
PH153617125,0 ns
PH153604044,3 cold spot
PH153624094,3 cold spot
PH153604045,3 cold spot
PH153629037,0 ns
PH153615079,0 ns
PH153637021,0 ns
PH153607056,0 ns
PH153624086,3 cold spot
PH153627063,3 cold spot
PH153625036,0 ns
PH153606052,3 cold spot
PH153611089,0 ns
PH153627062,3 cold spot
PH153627064,0 ns
PH153606053,3 cold spot
PH153609021,0 ns
PH153639014,0 ns
PH153615063,0 ns
PH153616083,0 ns
PH153609022,0 ns
PH153638042,3 cold spot
PH153604046,0 ns
PH153632054,0 ns
PH153640007,0 ns
PH153622041,3 cold spot
PH153621033,0 ns
PH153632055,0 ns
PH153609023,3 cold spot
PH153611091,0 ns
PH153603050,3 cold spot
PH153626049,3 cold spot
PH153624087,3 cold spot
PH153618042,0 ns
PH153605030,0 ns
PH153612048,0 ns
PH153632056,3 cold spot
PH153615064,0 ns
PH153601026,3 cold spot
PH153614023,3 cold spot
PH153621034,3 cold spot
PH153623033,3 cold spot
PH153618082,0 ns
PH153611094,0 ns
PH153623034,3 cold spot
PH153617126,1 hot spot
PH153613034,3 cold spot
PH153604047,3 cold spot
PH153633029,3 cold spot
PH153628036,3 cold spot
PH153629038,0 ns
PH153604048,3 cold spot
PH153603052,3 cold spot
PH153621035,3 cold spot
PH153622043,0 ns
PH153621036,0 ns
PH153633030,3 cold spot
PH153602056,3 cold spot
PH153626050,3 cold spot
PH153626052,3 cold spot
PH153621037,3 cold spot
PH153607062,0 ns
PH153617127,0 ns
PH153605033,3 cold spot
PH153615066,3 cold spot
PH153607060,0 ns
PH153617131,1 hot spot
PH153618085,0 ns
PH153603051,0 ns
PH153604050,3 cold spot
PH153623036,3 cold spot
PH153604051,3 cold spot
PH153613035,3 cold spot
PH153617137,0 ns
PH153611096,3 cold spot
PH153604052,3 cold spot
PH153635049,0 ns
PH153617133,0 ns
PH153618083,0 ns
PH153641009,3 cold spot
PH153635050,0 ns
PH153614022,3 cold spot
PH153628037,3 cold spot
PH153615068,0 ns
PH153626054,3 cold spot
PH153605034,0 ns
PH153614025,0 ns
PH153617134,0 ns
PH153635052,0 ns
PH153604049,0 ns
PH153617129,0 ns
PH153616112,0 ns
PH153617136,0 ns
PH153623035,3 cold spot
PH153633031,3 cold spot
PH153603053,0 ns
PH153601027,0 ns
PH153601028,0 ns
PH153614031,3 cold spot
PH153627069,3 cold spot
PH153611097,0 ns
PH153635053,0 ns
PH153621038,3 cold spot
PH153613036,3 cold spot
PH153618088,3 cold spot
PH153639015,0 ns
PH153602043,0 ns
PH153624095,0 ns
PH153614027,4 high outlier
PH153628038,3 cold spot
PH153636033,3 cold spot
PH153617138,0 ns
PH153617139,0 ns
PH153630042,0 ns
PH153623037,3 cold spot
PH153831001,0 ns
PH153825001,0 ns
PH153812001,0 ns
PH153805001,0 ns
PH153806001,3 cold spot
PH153836001,3 cold spot
PH153806002,0 ns
PH153807001,0 ns
PH153802001,0 ns
PH153836002,0 ns
PH153813001,0 ns
PH153802002,0 ns
PH153807002,1 hot spot
PH153807003,0 ns
PH153819001,0 ns
PH153825002,0 ns
PH153807004,1 hot spot
PH153810001,0 ns
PH153808002,0 ns
PH153814001,0 ns
PH153820001,0 ns
PH153829001,0 ns
PH153807005,0 ns
PH153837001,0 ns
PH153829002,0 ns
PH153806005,0 ns
PH153836003,0 ns
PH153822001,1 hot spot
PH153806006,0 ns
PH153834001,0 ns
PH153824001,1 hot spot
PH153828001,0 ns
PH153812003,0 ns
PH153815028,0 ns
PH153812004,1 hot spot
PH153818001,1 hot spot
PH153813003,0 ns
PH153815003,2 low outlier
PH153809001,0 ns
PH153809002,1 hot spot
PH153807006,1 hot spot
PH153808004,0 ns
PH153817002,0 ns
PH153816028,0 ns
PH153816032,0 ns
PH153821002,1 hot spot
PH153807007,0 ns
PH153815004,1 hot spot
PH153816005,0 ns
PH153824002,1 hot spot
PH153805017,0 ns
PH153817003,0 ns
PH153811014,0 ns
PH153807008,0 ns
PH153815002,1 hot spot
PH153831002,1 hot spot
PH153818002,0 ns
PH153806008,0 ns
PH153836004,0 ns
PH153815005,0 ns
PH153809003,1 hot spot
PH153809004,1 hot spot
PH153807009,0 ns
PH153812006,1 hot spot
PH153827001,0 ns
PH153812007,0 ns
PH153810004,1 hot spot
PH153822002,0 ns
PH153805018,0 ns
PH153813004,0 ns
PH153819002,0 ns
PH153822003,1 hot spot
PH153824003,0 ns
PH153815006,0 ns
PH153814026,0 ns
PH153836005,0 ns
PH153802005,0 ns
PH153802007,0 ns
PH153812009,1 hot spot
PH153823005,0 ns
PH153811031,1 hot spot
PH153807010,1 hot spot
PH153811027,0 ns
PH153812010,0 ns
PH153820002,0 ns
PH153806010,3 cold spot
PH153836006,3 cold spot
PH153807011,1 hot spot
PH153814003,0 ns
PH153824004,0 ns
PH153832001,1 hot spot
PH153820003,0 ns
PH153837002,0 ns
PH153810025,2 low outlier
PH153807013,1 hot spot
PH153812012,1 hot spot
PH153806011,0 ns
PH153836007,0 ns
PH153816007,0 ns
PH153823001,0 ns
PH153810006,1 hot spot
PH153805016,0 ns
PH153823002,0 ns
PH153812052,0 ns
PH153834002,1 hot spot
PH153805003,0 ns
PH153829003,0 ns
PH153826002,1 hot spot
PH153813006,0 ns
PH153812013,0 ns
PH153815008,1 hot spot
PH153837003,0 ns
PH153820004,0 ns
PH153825003,0 ns
PH153805019,0 ns
PH153837004,0 ns
PH153837005,0 ns
PH153811032,0 ns
PH153801004,0 ns
PH153803008,1 hot spot
PH153828002,1 hot spot
PH153807014,1 hot spot
PH153802009,0 ns
PH153806015,0 ns
PH153836008,0 ns
PH153837006,0 ns
PH153807015,0 ns
PH153822004,0 ns
PH153802011,0 ns
PH153805020,0 ns
PH153826003,1 hot spot
PH153816008,0 ns
PH153816009,0 ns
PH153818003,0 ns
PH153811008,0 ns
PH153821003,0 ns
PH153813008,0 ns
PH153811033,0 ns
PH153810008,1 hot spot
PH153814005,0 ns
PH153815009,0 ns
PH153812014,0 ns
PH153814006,0 ns
PH153837007,0 ns
PH153829004,0 ns
PH153826005,0 ns
PH153834003,0 ns
PH153834004,0 ns
PH153811010,1 hot spot
PH153828003,0 ns
PH153811009,2 low outlier
PH153827002,0 ns
PH153837008,0 ns
PH153812015,0 ns
PH153834005,0 ns
PH153810009,1 hot spot
PH153817004,0 ns
PH153815010,1 hot spot
PH153826007,0 ns
PH153811030,0 ns
PH153833001,1 hot spot
PH153812016,0 ns
PH153801011,1 hot spot
PH153823006,0 ns
PH153812017,0 ns
PH153807017,0 ns
PH153819005,0 ns
PH153810010,0 ns
PH153832002,1 hot spot
PH153806021,0 ns
PH153836009,0 ns
PH153825004,0 ns
PH153805014,0 ns
PH153801012,0 ns
PH153806039,1 hot spot
PH153812018,0 ns
PH153834006,0 ns
PH153801014,0 ns
PH153802008,0 ns
PH153812028,0 ns
PH153825005,0 ns
PH153816013,0 ns
PH153812019,0 ns
PH153814008,0 ns
PH153805004,0 ns
PH153812020,1 hot spot
PH153801015,0 ns
PH153828004,0 ns
PH153833002,1 hot spot
PH153833003,0 ns
PH153816014,2 low outlier
PH153807018,0 ns
PH153815012,0 ns
PH153815013,0 ns
PH153809005,0 ns
PH153815014,0 ns
PH153817005,0 ns
PH153821004,0 ns
PH153821005,0 ns
PH153810013,0 ns
PH153830001,0 ns
PH153815017,0 ns
PH153824005,0 ns
PH153826008,1 hot spot
PH153826009,1 hot spot
PH153818012,0 ns
PH153835001,0 ns
PH153810014,1 hot spot
PH153821006,1 hot spot
PH153813013,0 ns
PH153819006,0 ns
PH153802012,0 ns
PH153808011,0 ns
PH153807019,0 ns
PH153807020,0 ns
PH153817001,1 hot spot
PH153808012,0 ns
PH153835002,1 hot spot
PH153835003,1 hot spot
PH153807021,1 hot spot
PH153812023,0 ns
PH153830002,0 ns
PH153825006,0 ns
PH153818013,1 hot spot
PH153817006,0 ns
PH153811012,0 ns
PH153809008,1 hot spot
PH153814009,0 ns
PH153813015,0 ns
PH153809009,1 hot spot
PH153816018,0 ns
PH153819007,0 ns
PH153830003,0 ns
PH153808013,0 ns
PH153819008,0 ns
PH153810015,1 hot spot
PH153833004,1 hot spot
PH153820006,0 ns
PH153834007,0 ns
PH153820007,0 ns
PH153837015,0 ns
PH153822005,0 ns
PH153811013,0 ns
PH153812024,1 hot spot
PH153835004,0 ns
PH153816019,0 ns
PH153810017,0 ns
PH153837009,0 ns
PH153807022,0 ns
PH153806025,3 cold spot
PH153814011,0 ns
PH153818004,1 hot spot
PH153836010,3 cold spot
PH153818005,0 ns
PH153805021,0 ns
PH153818006,0 ns
PH153805013,3 cold spot
PH153817007,1 hot spot
PH153833005,1 hot spot
PH153819009,0 ns
PH153803023,2 low outlier
PH153814028,0 ns
PH153832003,0 ns
PH153819010,0 ns
PH153820009,0 ns
PH153824006,1 hot spot
PH153835010,0 ns
PH153827003,0 ns
PH153825007,0 ns
PH153811026,0 ns
PH153826010,0 ns
PH153805022,0 ns
PH153828005,1 hot spot
PH153806028,0 ns
PH153836011,0 ns
PH153811015,1 hot spot
PH153812026,0 ns
PH153814012,0 ns
PH153827004,0 ns
PH153821007,0 ns
PH153812027,0 ns
PH153819011,0 ns
PH153805023,0 ns
PH153811016,1 hot spot
PH153807023,1 hot spot
PH153805006,0 ns
PH153833006,1 hot spot
PH153827005,0 ns
PH153801018,0 ns
PH153829005,0 ns
PH153808023,0 ns
PH153820010,0 ns
PH153805007,2 low outlier
PH153821008,0 ns
PH153805008,0 ns
PH153811025,0 ns
PH153820011,0 ns
PH153805024,0 ns
PH153828006,0 ns
PH153831003,1 hot spot
PH153816025,0 ns
PH153828007,0 ns
PH153818007,0 ns
PH153807024,0 ns
PH153822006,0 ns
PH153806029,3 cold spot
PH153836012,3 cold spot
PH153803030,1 hot spot
PH153813021,0 ns
PH153801022,2 low outlier
PH153802017,0 ns
PH153812029,0 ns
PH153814013,0 ns
PH153830004,0 ns
PH153827006,0 ns
PH153830005,0 ns
PH153819012,0 ns
PH153819013,0 ns
PH153831004,1 hot spot
PH153829006,0 ns
PH153802018,0 ns
PH153818011,0 ns
PH153815022,1 hot spot
PH153807026,0 ns
PH153806030,0 ns
PH153834008,0 ns
PH153811034,2 low outlier
PH153812030,0 ns
PH153825008,0 ns
PH153825009,0 ns
PH153818008,0 ns
PH153822007,1 hot spot
PH153837010,0 ns
PH153812031,0 ns
PH153830006,0 ns
PH153824007,0 ns
PH153815023,0 ns
PH153805025,0 ns
PH153812053,0 ns
PH153812033,0 ns
PH153807025,0 ns
PH153811017,1 hot spot
PH153831005,0 ns
PH153815025,0 ns
PH153802020,0 ns
PH153812034,0 ns
PH153811018,0 ns
PH153802021,0 ns
PH153822008,1 hot spot
PH153814014,0 ns
PH153836013,0 ns
PH153837011,0 ns
PH153837016,0 ns
PH153821011,0 ns
PH153823003,0 ns
PH153832004,1 hot spot
PH153805015,0 ns
PH153813050,0 ns
PH153837012,0 ns
PH153829007,0 ns
PH153827008,0 ns
PH153832005,1 hot spot
PH153812035,0 ns
PH153833007,1 hot spot
PH153817008,1 hot spot
PH153836014,3 cold spot
PH153818014,0 ns
PH153819015,0 ns
PH153802022,0 ns
PH153813028,0 ns
PH153834009,0 ns
PH153814015,0 ns
PH153814017,0 ns
PH153830007,0 ns
PH153836015,0 ns
PH153814016,0 ns
PH153820013,0 ns
PH153829008,0 ns
PH153819018,0 ns
PH153802023,2 low outlier
PH153812036,0 ns
PH153812037,0 ns
PH153837013,0 ns
PH153817009,0 ns
PH153820014,0 ns
PH153811019,1 hot spot
PH153812038,0 ns
PH153812039,0 ns
PH153810021,0 ns
PH153803039,1 hot spot
PH153805026,0 ns
PH153808034,0 ns
PH153811020,1 hot spot
PH153814018,0 ns
PH153806034,0 ns
PH153808046,1 hot spot
PH153808047,0 ns
PH153811028,1 hot spot
PH153811021,1 hot spot
PH153803040,1 hot spot
PH153830013,0 ns
PH153837014,0 ns
PH153805010,0 ns
PH153819019,0 ns
PH153812040,1 hot spot
PH153819016,0 ns
PH153815029,2 low outlier
PH153812041,1 hot spot
PH153806035,0 ns
PH153815030,0 ns
PH153815031,0 ns
PH153815032,0 ns
PH153830008,0 ns
PH153815034,2 low outlier
PH153817010,1 hot spot
PH153818009,0 ns
PH153802025,1 hot spot
PH153834010,0 ns
PH153819020,0 ns
PH153823007,0 ns
PH153826013,1 hot spot
PH153805027,0 ns
PH153812042,1 hot spot
PH153801035,0 ns
PH153811029,2 low outlier
PH153812043,0 ns
PH153836016,0 ns
PH153825010,0 ns
PH153829009,0 ns
PH153817011,0 ns
PH153801028,0 ns
PH153809007,1 hot spot
PH153820016,0 ns
PH153829010,0 ns
PH153807027,0 ns
PH153808037,0 ns
PH153835005,0 ns
PH153830009,0 ns
PH153815036,2 low outlier
PH153807028,1 hot spot
PH153812044,0 ns
PH153805011,0 ns
PH153807029,0 ns
PH153807030,0 ns
PH153824008,0 ns
PH153830010,0 ns
PH153824009,0 ns
PH153828008,0 ns
PH153819021,0 ns
PH153829011,0 ns
PH153811023,0 ns
PH153835006,0 ns
PH153822009,1 hot spot
PH153816033,0 ns
PH153835007,0 ns
PH153828009,0 ns
PH153803045,1 hot spot
PH153821012,0 ns
PH153822010,0 ns
PH153816035,0 ns
PH153807031,0 ns
PH153830011,0 ns
PH153824010,2 low outlier
PH153816036,1 hot spot
PH153825011,0 ns
PH153807032,1 hot spot
PH153807033,1 hot spot
PH153824011,0 ns
PH153807034,0 ns
PH153808038,0 ns
PH153824012,0 ns
PH153807035,0 ns
PH153836017,0 ns
PH153832006,1 hot spot
PH153807036,0 ns
PH153816038,2 low outlier
PH153808039,0 ns
PH153808040,0 ns
PH153832007,1 hot spot
PH153815042,0 ns
PH153818010,0 ns
PH153801031,0 ns
PH153819017,0 ns
PH153823008,0 ns
PH153835008,0 ns
PH153835009,1 hot spot
PH153801032,0 ns
PH153830012,0 ns
PH153811024,0 ns
PH153813045,0 ns
PH153831006,0 ns
PH153820017,0 ns
PH153824013,0 ns
PH153813046,0 ns
PH153820018,0 ns
PH153828010,0 ns
PH153831007,1 hot spot
PH153834011,0 ns
PH153832008,1 hot spot
PH153822011,1 hot spot
PH153835011,0 ns
PH153827010,0 ns
PH153812051,1 hot spot
PH153833008,1 hot spot
PH153823004,0 ns
PH153819022,0 ns
PH153803054,1 hot spot
PH153814019,0 ns
PH156601001,1 hot spot
PH156602001,1 hot spot
PH156608001,0 ns
PH156617001,0 ns
PH156609024,0 ns
PH156609002,0 ns
PH156617002,0 ns
PH156614013,0 ns
PH156605001,0 ns
PH156610001,0 ns
PH156613001,0 ns
PH156619001,0 ns
PH156619002,0 ns
PH156611001,1 hot spot
PH156607001,0 ns
PH156602002,1 hot spot
PH156609003,0 ns
PH156613002,0 ns
PH156615001,0 ns
PH156611002,0 ns
PH156612001,0 ns
PH156607002,0 ns
PH156618001,0 ns
PH156613003,0 ns
PH156601002,1 hot spot
PH156615002,0 ns
PH156606012,0 ns
PH156607003,0 ns
PH156611003,0 ns
PH156608003,0 ns
PH156614003,0 ns
PH156617003,0 ns
PH156605002,0 ns
PH156601003,0 ns
PH156607004,0 ns
PH156609004,0 ns
PH156609005,0 ns
PH156613004,0 ns
PH156607005,0 ns
PH156611004,0 ns
PH156604004,1 hot spot
PH156605003,0 ns
PH156605004,1 hot spot
PH156612004,0 ns
PH156601004,1 hot spot
PH156606002,0 ns
PH156613007,0 ns
PH156607006,0 ns
PH156618002,0 ns
PH156601005,0 ns
PH156611005,0 ns
PH156609006,0 ns
PH156605005,3 cold spot
PH156607007,0 ns
PH156612006,0 ns
PH156609008,0 ns
PH156612007,0 ns
PH156611006,0 ns
PH156613008,0 ns
PH156601006,0 ns
PH156613009,0 ns
PH156602003,1 hot spot
PH156609009,0 ns
PH156609010,0 ns
PH156612008,0 ns
PH156619003,0 ns
PH156602004,1 hot spot
PH156613010,0 ns
PH156611007,0 ns
PH156615003,0 ns
PH156609011,0 ns
PH156607008,0 ns
PH156610003,0 ns
PH156612010,0 ns
PH156605007,3 cold spot
PH156612011,0 ns
PH156615004,0 ns
PH156609012,0 ns
PH156612012,0 ns
PH156612013,0 ns
PH156616001,1 hot spot
PH156611030,1 hot spot
PH156617004,0 ns
PH156617005,0 ns
PH156613011,0 ns
PH156616002,0 ns
PH156609013,0 ns
PH156604029,1 hot spot
PH156605008,0 ns
PH156618003,0 ns
PH156614010,0 ns
PH156619004,1 hot spot
PH156617007,0 ns
PH156617006,0 ns
PH156611008,0 ns
PH156605009,0 ns
PH156612015,0 ns
PH156612016,0 ns
PH156601007,0 ns
PH156616009,0 ns
PH156613059,0 ns
PH156613014,0 ns
PH156618004,0 ns
PH156601008,0 ns
PH156611009,0 ns
PH156612018,0 ns
PH156613015,0 ns
PH156606003,0 ns
PH156611010,0 ns
PH156601010,0 ns
PH156613016,0 ns
PH156609001,0 ns
PH156613017,0 ns
PH156615005,0 ns
PH156609015,0 ns
PH156601011,1 hot spot
PH156614014,0 ns
PH156607011,0 ns
PH156614016,0 ns
PH156610004,0 ns
PH156603002,1 hot spot
PH156616003,0 ns
PH156611011,0 ns
PH156607014,0 ns
PH156601012,0 ns
PH156607013,2 low outlier
PH156604007,1 hot spot
PH156607015,0 ns
PH156604008,1 hot spot
PH156607016,0 ns
PH156609016,0 ns
PH156614018,0 ns
PH156613018,0 ns
PH156605010,2 low outlier
PH156601013,0 ns
PH156610005,0 ns
PH156603004,1 hot spot
PH156613019,0 ns
PH156614017,0 ns
PH156605011,0 ns
PH156601014,0 ns
PH156603013,0 ns
PH156601015,0 ns
PH156614019,0 ns
PH156611012,0 ns
PH156607017,0 ns
PH156608004,0 ns
PH156610006,0 ns
PH156608005,0 ns
PH156610007,0 ns
PH156613020,0 ns
PH156612019,0 ns
PH156612020,0 ns
PH156613021,0 ns
PH156613023,0 ns
PH156605012,0 ns
PH156607018,0 ns
PH156612021,0 ns
PH156601016,0 ns
PH156617008,0 ns
PH156609017,0 ns
PH156613024,0 ns
PH156605013,3 cold spot
PH156605014,0 ns
PH156609019,0 ns
PH156613025,0 ns
PH156617009,0 ns
PH156618005,0 ns
PH156619005,1 hot spot
PH156607019,0 ns
PH156604012,2 low outlier
PH156613026,0 ns
PH156601017,0 ns
PH156609044,0 ns
PH156611013,2 low outlier
PH156601018,0 ns
PH156605015,0 ns
PH156608006,0 ns
PH156605020,0 ns
PH156618006,0 ns
PH156617010,0 ns
PH156611014,1 hot spot
PH156612025,0 ns
PH156605016,0 ns
PH156618016,0 ns
PH156609021,0 ns
PH156605017,0 ns
PH156609023,0 ns
PH156611015,0 ns
PH156609025,0 ns
PH156604013,1 hot spot
PH156613027,0 ns
PH156601019,0 ns
PH156616004,0 ns
PH156616010,1 hot spot
PH156610008,0 ns
PH156604014,2 low outlier
PH156609026,0 ns
PH156609027,0 ns
PH156613028,0 ns
PH156613029,0 ns
PH156613030,0 ns
PH156613031,0 ns
PH156607028,0 ns
PH156609045,0 ns
PH156613032,0 ns
PH156613033,0 ns
PH156605019,3 cold spot
PH156616005,1 hot spot
PH156617011,0 ns
PH156608007,0 ns
PH156609029,0 ns
PH156613035,0 ns
PH156613036,0 ns
PH156609028,0 ns
PH156605018,0 ns
PH156607023,0 ns
PH156613037,0 ns
PH156609030,0 ns
PH156615006,0 ns
PH156612023,0 ns
PH156612026,0 ns
PH156610009,0 ns
PH156613038,0 ns
PH156613039,0 ns
PH156618007,0 ns
PH156611016,0 ns
PH156601020,0 ns
PH156618008,0 ns
PH156613040,0 ns
PH156604015,0 ns
PH156601021,0 ns
PH156617012,0 ns
PH156601022,0 ns
PH156612030,0 ns
PH156617013,0 ns
PH156613041,0 ns
PH156616011,0 ns
PH156603017,1 hot spot
PH156603018,1 hot spot
PH156605021,0 ns
PH156611017,1 hot spot
PH156613042,0 ns
PH156612032,0 ns
PH156613043,0 ns
PH156619006,0 ns
PH156613044,0 ns
PH156604030,1 hot spot
PH156610010,0 ns
PH156612035,0 ns
PH156609031,0 ns
PH156612037,0 ns
PH156612038,0 ns
PH156618009,0 ns
PH156612040,0 ns
PH156615007,0 ns
PH156612041,0 ns
PH156606008,0 ns
PH156614025,0 ns
PH156616012,0 ns
PH156617014,0 ns
PH156601023,0 ns
PH156601024,0 ns
PH156616006,0 ns
PH156608009,0 ns
PH156608010,0 ns
PH156603010,1 hot spot
PH156614027,0 ns
PH156603011,0 ns
PH156611018,0 ns
PH156611019,0 ns
PH156601028,0 ns
PH156608011,0 ns
PH156611020,0 ns
PH156613045,0 ns
PH156607027,0 ns
PH156618010,0 ns
PH156617015,0 ns
PH156601025,0 ns
PH156605022,0 ns
PH156610011,0 ns
PH156611021,0 ns
PH156608012,0 ns
PH156609032,0 ns
PH156609033,0 ns
PH156610012,0 ns
PH156612046,0 ns
PH156603012,0 ns
PH156609034,0 ns
PH156612009,0 ns
PH156601026,0 ns
PH156605023,0 ns
PH156609035,0 ns
PH156607030,0 ns
PH156607031,0 ns
PH156616007,0 ns
PH156612042,0 ns
PH156614028,0 ns
PH156612080,0 ns
PH156612048,0 ns
PH156605006,0 ns
PH156612049,0 ns
PH156610013,0 ns
PH156609036,0 ns
PH156613047,0 ns
PH156609037,0 ns
PH156602007,1 hot spot
PH156611022,0 ns
PH156610014,0 ns
PH156601027,0 ns
PH156612050,0 ns
PH156601036,0 ns
PH156614030,0 ns
PH156608014,0 ns
PH156607033,0 ns
PH156607034,0 ns
PH156618011,0 ns
PH156617016,0 ns
PH156612053,0 ns
PH156618012,0 ns
PH156615009,0 ns
PH156609038,0 ns
PH156608013,0 ns
PH156612056,0 ns
PH156612057,0 ns
PH156601029,0 ns
PH156612059,0 ns
PH156612060,0 ns
PH156612061,0 ns
PH156612058,0 ns
PH156618013,0 ns
PH156612065,0 ns
PH156615010,0 ns
PH156612066,0 ns
PH156612067,0 ns
PH156607036,0 ns
PH156608016,0 ns
PH156618014,0 ns
PH156612069,0 ns
PH156619007,0 ns
PH156614032,0 ns
PH156615011,0 ns
PH156607037,0 ns
PH156605024,0 ns
PH156601030,1 hot spot
PH156611023,0 ns
PH156615012,0 ns
PH156609039,0 ns
PH156602008,1 hot spot
PH156613048,0 ns
PH156615013,0 ns
PH156613049,0 ns
PH156612070,0 ns
PH156605025,0 ns
PH156611024,0 ns
PH156604024,1 hot spot
PH156607038,0 ns
PH156614033,0 ns
PH156619008,1 hot spot
PH156611025,0 ns
PH156615015,0 ns
PH156611026,0 ns
PH156607039,0 ns
PH156618015,0 ns
PH156612071,0 ns
PH156606015,0 ns
PH156613051,0 ns
PH156609040,0 ns
PH156601031,1 hot spot
PH156611027,0 ns
PH156610015,0 ns
PH156607040,0 ns
PH156613052,0 ns
PH156617017,0 ns
PH156615014,0 ns
PH156616008,0 ns
PH156612072,0 ns
PH156612073,0 ns
PH156608017,0 ns
PH156612074,0 ns
PH156601032,0 ns
PH156607042,0 ns
PH156607043,0 ns
PH156612075,0 ns
PH156608018,0 ns
PH156601033,0 ns
PH156608019,0 ns
PH156604021,0 ns
PH156605026,0 ns
PH156613053,0 ns
PH156611028,0 ns
PH156609041,0 ns
PH156614035,0 ns
PH156602009,1 hot spot
PH156604028,0 ns
PH156612076,0 ns
PH156609042,0 ns
PH156601035,2 low outlier
PH156603016,1 hot spot
PH156613054,0 ns
PH156611029,0 ns
PH156613060,0 ns
PH156613055,0 ns
PH156613056,2 low outlier
PH156607029,0 ns
PH156613057,0 ns
PH156613058,0 ns
PH156605027,3 cold spot
PH156602010,1 hot spot
PH156609043,0 ns
PH157009014,0 ns
PH157011001,0 ns
PH157006001,0 ns
PH157004015,0 ns
PH157009015,0 ns
PH157009001,0 ns
PH157004001,0 ns
PH157010001,0 ns
PH157001001,0 ns
PH157007002,0 ns
PH157007044,0 ns
PH157009002,0 ns
PH157009016,0 ns
PH157009003,0 ns
PH157001002,0 ns
PH157001010,0 ns
PH157001011,0 ns
PH157006005,0 ns
PH157006006,3 cold spot
PH157006007,0 ns
PH157003001,0 ns
PH157002027,1 hot spot
PH157001003,0 ns
PH157006008,0 ns
PH157006011,0 ns
PH157006010,0 ns
PH157006009,0 ns
PH157007045,0 ns
PH157010004,0 ns
PH157010005,0 ns
PH157009004,0 ns
PH157011002,0 ns
PH157005016,1 hot spot
PH157004008,0 ns
PH157003002,0 ns
PH157001004,0 ns
PH157006013,0 ns
PH157003013,0 ns
PH157003005,0 ns
PH157011003,0 ns
PH157011004,0 ns
PH157011005,0 ns
PH157007046,0 ns
PH157011006,0 ns
PH157005021,1 hot spot
PH157002005,0 ns
PH157009017,0 ns
PH157007009,0 ns
PH157007047,0 ns
PH157009018,0 ns
PH157002006,0 ns
PH157001012,0 ns
PH157002007,0 ns
PH157007010,0 ns
PH157009019,0 ns
PH157010007,0 ns
PH157003003,0 ns
PH157001013,0 ns
PH157002044,0 ns
PH157006012,0 ns
PH157007012,0 ns
PH157006015,3 cold spot
PH157002009,0 ns
PH157010009,0 ns
PH157006016,3 cold spot
PH157002010,1 hot spot
PH157009005,0 ns
PH157002012,0 ns
PH157002013,0 ns
PH157010008,0 ns
PH157006017,0 ns
PH157011007,0 ns
PH157008002,0 ns
PH157006038,0 ns
PH157006019,0 ns
PH157001014,0 ns
PH157003014,0 ns
PH157010016,0 ns
PH157010002,1 hot spot
PH157010017,0 ns
PH157003015,0 ns
PH157003004,0 ns
PH157001005,0 ns
PH157004009,0 ns
PH157002014,0 ns
PH157002015,0 ns
PH157001015,0 ns
PH157003006,0 ns
PH157001016,0 ns
PH157010012,0 ns
PH157002016,0 ns
PH157002017,0 ns
PH157010013,0 ns
PH157004002,0 ns
PH157009020,0 ns
PH157009006,0 ns
PH157004010,0 ns
PH157002018,0 ns
PH157004003,0 ns
PH157002019,0 ns
PH157002045,1 hot spot
PH157007026,0 ns
PH157005022,0 ns
PH157006014,0 ns
PH157010018,0 ns
PH157011008,0 ns
PH157006024,0 ns
