Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,Variable,Value
Basilan,PH150700000,Kaumpamatsakem,PH150705051,Number of School,1
Basilan,PH150700000,Badja,PH150706002,Number of School,2
Basilan,PH150700000,Bohebaca,PH150706003,Number of School,1
Basilan,PH150700000,Bohelebung,PH150706004,Number of School,2
Basilan,PH150700000,Lagayas,PH150706011,Number of School,1
Basilan,PH150700000,Limbo-Upas,PH150706012,Number of School,1
Basilan,PH150700000,Tipo-tipo Proper (Pob.),PH150706016,Number of School,2
Basilan,PH150700000,Baguindan,PH150706017,Number of School,1
Basilan,PH150700000,Banah,PH150706018,Number of School,1
Basilan,PH150700000,Bohe-Tambak,PH150706019,Number of School,1
Basilan,PH150700000,Silangkum,PH150706030,Number of School,1
Basilan,PH150700000,Bangcuang,PH150706038,Number of School,1
Basilan,PH150700000,Sinulatan,PH150707010,Number of School,2
Basilan,PH150700000,Bohetambis,PH150707016,Number of School,1
Basilan,PH150700000,Duga-a,PH150707021,Number of School,1
Basilan,PH150700000,Mahawid,PH150707025,Number of School,1
Basilan,PH150700000,Lower Sinangkapan,PH150707028,Number of School,2
Basilan,PH150700000,Calut,PH150707034,Number of School,1
Basilan,PH150700000,Lower Tablas,PH150707041,Number of School,1
Basilan,PH150700000,Caddayan,PH150708001,Number of School,1
Basilan,PH150700000,Linongan,PH150708002,Number of School,1
Basilan,PH150700000,Lower Bato-bato,PH150708003,Number of School,1
Basilan,PH150700000,Mangalut,PH150708004,Number of School,1
Basilan,PH150700000,Semut,PH150708007,Number of School,1
Basilan,PH150700000,Upper Bato-bato,PH150708008,Number of School,2
Basilan,PH150700000,Bato-bato,PH150709002,Number of School,1
Basilan,PH150700000,Bohe-Piang,PH150709003,Number of School,1
Basilan,PH150700000,Bucalao,PH150709004,Number of School,1
Basilan,PH150700000,Cambug,PH150709005,Number of School,1
Basilan,PH150700000,Danapah,PH150709006,Number of School,1
Basilan,PH150700000,Guinanta,PH150709007,Number of School,1
Basilan,PH150700000,Kailih,PH150709008,Number of School,1
Basilan,PH150700000,Kinukutan,PH150709009,Number of School,1
Basilan,PH150700000,Kuhon Lennuh,PH150709011,Number of School,1
Basilan,PH150700000,Linuan,PH150709012,Number of School,1
Basilan,PH150700000,Magcawa,PH150709015,Number of School,1
Basilan,PH150700000,Sangkahan (Kaulungan Island),PH150709016,Number of School,1
Basilan,PH150700000,Basakan,PH150710001,Number of School,1
Basilan,PH150700000,Buton,PH150710002,Number of School,2
Basilan,PH150700000,Candiis,PH150710003,Number of School,1
Basilan,PH150700000,Langil,PH150710004,Number of School,1
Basilan,PH150700000,Langong,PH150710005,Number of School,1
Basilan,PH150700000,Languyan,PH150710006,Number of School,1
Basilan,PH150700000,Pintasan,PH150710007,Number of School,1
Basilan,PH150700000,Seronggon,PH150710008,Number of School,1
Basilan,PH150700000,Sibago,PH150710009,Number of School,1
Basilan,PH150700000,Sulutan Matangal,PH150710010,Number of School,2
Basilan,PH150700000,Tuburan Proper (Pob.),PH150710011,Number of School,1
Basilan,PH150700000,Amaloy,PH150711001,Number of School,1
Basilan,PH150700000,Bohe-Pahuh,PH150711002,Number of School,2
Basilan,PH150700000,Bohe-Suyak,PH150711003,Number of School,1
Basilan,PH150700000,Cabangalan,PH150711004,Number of School,1
Basilan,PH150700000,Danit,PH150711005,Number of School,1
Basilan,PH150700000,Kamamburingan,PH150711006,Number of School,1
Basilan,PH150700000,Matata,PH150711007,Number of School,1
Basilan,PH150700000,Materling,PH150711008,Number of School,1
Basilan,PH150700000,Pipil,PH150711009,Number of School,1
Basilan,PH150700000,Sungkayut,PH150711010,Number of School,1
Basilan,PH150700000,Tongbato,PH150711011,Number of School,1
Basilan,PH150700000,Ulitan,PH150711012,Number of School,1
Basilan,PH150700000,Baluk-baluk,PH150712001,Number of School,1
Basilan,PH150700000,Dasalan,PH150712002,Number of School,1
Basilan,PH150700000,Lubukan,PH150712003,Number of School,4
Basilan,PH150700000,Luukbongsod,PH150712004,Number of School,2
Basilan,PH150700000,Mananggal,PH150712005,Number of School,1
Basilan,PH150700000,Palahangan,PH150712006,Number of School,1
Basilan,PH150700000,Panducan,PH150712007,Number of School,1
Basilan,PH150700000,Sangbay Big,PH150712008,Number of School,1
Basilan,PH150700000,Sangbay Small,PH150712009,Number of School,2
Basilan,PH150700000,Tausan,PH150712010,Number of School,1
Basilan,PH150700000,Babag (Babuan Island),PH150713001,Number of School,1
Basilan,PH150700000,Balanting,PH150713002,Number of School,1
Basilan,PH150700000,Boloh-boloh,PH150713003,Number of School,2
